Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2"
"Rpot1",1,"250 kΩ Potentiometer"
"R4",1,"1 kΩ Resistor"
"R2, R1, R5, R6",4,"220 Ω Resistor"
"GAS1",1," Gas Sensor"
"R3",1,"4.7 kΩ Resistor"
"D1",1,"Red LED"
"D2",1,"Orange LED"
"D3",1,"Green LED"
"PIEZO1",1," Piezo"
"U3",1," Temperature Sensor [TMP36]"
